taxonID,vernacularName,language
50,bactérias,Portuguese
601,cyanophytes,French
1447,chrysophycophytes,French
1882,algues vert-jaunes,French
2287,diatomées,French
5413,algues vertes,French
5414,algues vertes,French
9417,stoneworts,English
9419,stoneworts,English
9512,green flagellates,English
9601,euglènes,French
9873,dinoflagellés,French
10685,algues brunes,French
12508,rosy calcareous algae,Common name
13757,peninsular pronghorn,English
13762,myxomycètes,French
13763,cellular slime molds,Common name
13771,true slime molds,Common name
13785,algae-like fungi,Common name
13931,white rusts,Common name
13932,downy mildews,Common name
14092,rusts,English
14109,rusts,English
14189,non-vascular land plants,English
14195,liverworts,Common name
14197,liverworts,English
14198,leafy hepatics,English
14202,takakia,Common name
14218,herbertus,Common name
14246,pseudolepicolea,Common name
14252,blepharostoma,Common name
14253,blepharostoma,Common name
14254,blepharostoma,Common name
14255,blepharostoma,Common name
14256,blepharostoma,Common name
14279,ptilidium,Common name
14292,trichocolea,Common name
14337,kurzia,Common name
14349,lepidozia,Common name
14354,telaranea,Common name
14359,bazzania,Common name
14360,bazzania,Common name
14361,bazzania,Common name
14362,bazzania,Common name
14363,Pearson's bazzania,Common name
14364,bazzania,Common name
14366,threelobed bazzania,Common name
14368,threelobed bazzania,Common name
14369,threelobed bazzania,Common name
14382,calypogeja,Common name
14387,Müller's calypogeja,English
14388,Müller's calypogeja,English
14389,Blomquist's calypogeja,English
14390,Nees' calypogeja,English
14391,Peruvian calypogeja,English
14393,sphagnum calypogeja,English
14396,Sullivant's calypogeja,English
14407,anthelia,Common name
14408,anthelia,Common name
14410,Juratzka's anthelia,Common name
14412,hygrobiella,Common name
14414,pleuroclada,Common name
14419,schofieldia,Common name
14421,cladopodiella,Common name
14424,cephalozia,Common name
14425,cephalozia,Common name
14426,twotoothed cephalozia,Common name
14428,twotoothed cephalozia,Common name
14429,twotoothed cephalozia,Common name
14431,Lammers' cephalozia,Common name
14433,twotoothed cephalozia,Common name
14434,cephalozia,Common name
14435,cephalozia,Common name
14436,cephalozia,Common name
14437,cephalozia,Common name
14438,compact cephalozia,Common name
14440,cephalozia,Common name
14441,cephalozia,Common name
14442,Loitlesberger's cephalozia,Common name
14443,cephalozia,Common name
14445,Macoun's cephalozia,Common name
14446,cephalozia,Common name
14447,cephalozia,Common name
14448,cephalozia,Common name
14449,cephalozia,Common name
14450,cephalozia,Common name
14451,Carolina cephalozia,Common name
14452,sphagnum cephalozia,Common name
14464,odontoschisma,Common name
14482,cylindrocolea,Common name
14545,lophocolea,English
14559,chiloscyphus,English
14569,leptoscyphus,English
14579,harpanthus,English
14583,geocalyx,English
14588,chonecolea,Common name
14592,pedinophyllum,Common name
14595,plagiochila,Common name
14666,arnellia,Common name
14667,arnellia,Common name
14672,acrobolbus,Common name
14673,acrobolbus,Common name
14679,gyrothyra,Common name
